815059714492878848	Inteligente respuesta de Putin	P
819399527715192833	@FridaCoral ven a chetu mejor	NEU
819383868704759808	Danniel es como mi amor frustrado	N
819320272423526400	#EsDeMexicanos dejar todo para el último día.	N
819389873035608064	Estoy aprendiendo a hacer lo mismo, pero diferente	P
819391938998636546	Solo a los fav responde celosa mil @belindapop #AskBeli	N
819322218735869954	Si pudiera adoptaría a todos los perros y gatos abandonados	P
819432185820155908	@khareniafdz busco a Rodrigo en donde lo tienes ya lo extraño	N
819374237593075712	@lucinda_potter Extraño cuando era el único miembro de Lunes 28 que iba	N
819372864453410817	@abstractjoerick Podrías ayudarme con un RT aquí por favor? Ten una linda noche	NEU
819367153451167745	Como ya no puedo caminar, lo único en lo que pienso es en comida	N
819452909318504448	@dimefer_ Ya estoy contando los días para volver a vernos y todavía ni me voy	N
819469945167720448	@andresg9108 y que los demas solo den npm install y se instalen los paquetes guardados previamente	NEU
819390524809428992	Los que tengan credencial de la UNAM comprenme boletos para el partido y luego se los pago	P
819399501131747328	@Olallo_Rubio genial tu último Podcast... El de "¿qué hubieran hecho ustedes?" Ya quiero que salga la segunda parte	P
819318808255066113	@rctorr si hace unos dias vi eso, igual este viernes pase x el gato rollero cc @Chemasmas @Ritalin_P @HackeaMesta	NEU
819423266548891648	@ElaKageyama A mi me agrada sentirme cansado me imagino que soy como Rocky apunto de pelear contra Draco y así.	P
819314944713916418	Yo y mi melancolía Mis días trágicos de depresión y no quiero hacer nada, no trabajo, no salir, me siento vacía	N
819376041177255936	No es chido que te copien todo lo que pones eso quiere decir que a ella no le sale del corazón escribirles....	N
819456529543798784	Gracias a Comedy Central y MTV voy a estar en la nueva temporada de South Park, no se la pierdan [naa.. solo me…	P
819341048547803136	No quiero trabajar porque ayer yoosung me llamó y no le respondí, si hoy me pasa lo mismo me suicido, quiero escuchar su voz	N
819309376892604416	Dice el doctor que sospecha que las lesiones sean de marisco pegajoso por eso tomo biopsias. - Se llama molusco contagioso - Ah, si, eso.	N
817177228660318212	—¿Me invitas un café? —Sí, vamos al mejor café del mundo. —¿Ese cuál es? —El café de tus ojos. —¿No traes dinero verdad? —No, soy pobre.	P
819291792990420992	Acabo de recibir un CV de un diseñador dentro de una revista en pdf, videos de su novia en youtube y jpgs random Still don't get it.	NEU
819347276829077505	Así que valoren los buenos días que les dan aunque no sea de la persona que les gusta, si te los dan es por algo. Ash, los odie	P
792056270710726656	Sentí muy feo, entré a su Twitter y ya no me sigue  ya valió...ahora si ya se acabó, no me habla por whats y no me sigue en ninguna rs	N
801640840611430400	Ayudo en tareas gratis	P
819456610829471744	quiero y necesito verte yaaaa	P
819390623086235649	@jancarlobg A veces me siento sola	N
819420583095996416	@AbrahamIbaniez exacto! Cómo va todo por allá?	NEU
819322459941990400	@MariaJose_LB yo ya quería asado de tu boda	NEU
819372191074680832	@belindapop #AskBeli ¿Porque siempre respondes a los mismos EH?	N
819391364110553088	No soy mala, ni muy buena, pero quiero estar contigo	P
819405061096951808	Es turbo jodido no tener dinero para pagar academias de baile	N
819391915493904385	Navidad 2015, Navidad 2016... No diré más!!! Pobre de ti... Sin Cerebro	N
819361784050003969	Ah por cierto, sigo en el SS y hay una chava súper bonita	P
819441492909498369	@dBtte Muchísimas gracias, ya dile a tus muchachos que ganen para irme a festejar.	NEU
819383704212664320	"un día volverá" ese fue el consuelo al decir que te habías ido,que te extraño	N
819387295774244864	Ya me regañaron... al final sí hubo agua y el internet sigue medio lento .Seguiremos informando.	N
819452285612916736	@marianitapando ¿Y si vamos y te invito una hamburguesa con su respectiva malteada? *En verdad lo digo*	P
819366880477663232	Que padre que tengo trabajitos de free porque Björk no se pagara sola y esta bien pinche caro	NEU
819356570735833089	Me duele ver este tipo de documentales. Encabrona ver el nivel de estupidez humana que existe en nuestra sociedad.	N
